clip,traffic_class,hour,weather,day,vehicles_observed,tracks_seen,heavy_vehicle_percent,speed_mean_kmh,speed_median_kmh,speed_p85_kmh,speed_std_kmh,speed_n_reliable,density_veh_mi_ln,density_pc_mi_ln,level_of_service,vehicles_per_frame,lane_imbalance,busiest_lane,lane_changes,changes_per_vehicle,n_trajectories,n_merges,count_bicycle,count_car,count_motorcycle,count_bus,count_truck,occupancy_lane1,occupancy_lane2,occupancy_lane3,occupancy_lane4,occupancy_lane5
cctv052x2004080518x01675,light,18,overcast,1,8,11,0.0,82.23,84.03,95.58,16.67,4,5.35,5.47,A,1.63,0.673,1,0,0.0,8,0,0,8,0,0,0,0.673,0.135,0.327,0.192,0.0
cctv052x2004080518x01676,light,18,overcast,1,10,12,0.0,86.04,85.51,93.18,8.72,9,12.27,13.15,B,3.75,0.962,4,0,0.0,10,0,0,10,0,0,0,0.038,0.327,0.577,1.0,0.635
cctv052x2004080518x01677,light,18,overcast,1,10,14,30.0,90.76,94.18,99.8,11.57,9,12.33,15.04,B,3.77,0.654,5,0,0.0,10,0,0,7,0,0,3,0.327,0.423,0.904,0.596,0.981
cctv052x2004080519x01678,light,19,overcast,1,14,20,7.14,87.71,87.88,96.86,9.9,12,16.36,18.82,C,5.0,1.0,4,0,0.0,14,0,0,13,0,0,1,0.0,0.75,0.981,1.0,0.481
cctv052x2004080519x01679,light,19,overcast,1,13,17,0.0,96.67,94.16,103.95,7.51,11,14.16,14.85,B,4.33,0.558,2,0,0.0,13,0,0,13,0,0,0,0.231,0.788,0.731,0.673,0.538
cctv052x2004080519x01680,light,19,overcast,1,11,17,9.09,88.52,89.06,98.46,8.97,9,11.52,12.96,B,3.52,0.808,4,0,0.0,11,0,0,10,0,0,1,0.077,0.058,0.596,0.865,0.692
cctv052x2004080519x01681,light,19,overcast,1,12,23,0.0,88.88,87.69,92.81,3.4,9,12.27,12.46,B,3.75,0.981,3,0,0.0,12,0,0,12,0,0,0,0.0,0.846,0.981,0.596,0.212
cctv052x2004080519x01682,light,19,overcast,1,7,10,0.0,90.85,91.87,98.83,8.33,6,7.99,7.99,A,2.44,0.596,2,0,0.0,7,0,0,7,0,0,0,0.077,0.673,0.269,0.462,0.558
cctv052x2004080519x01683,light,19,overcast,1,9,11,22.22,89.3,92.56,95.1,9.58,7,9.82,10.91,A,3.0,0.824,5,0,0.0,9,0,0,7,0,0,2,0.0,0.471,0.706,0.667,0.824
cctv052x2004080519x01684,light,19,overcast,1,5,12,0.0,103.54,102.67,108.33,5.54,4,5.16,5.47,A,1.58,0.5,4,0,0.0,5,0,0,5,0,0,0,0.0,0.308,0.442,0.5,0.231
cctv052x2004080519x01685,light,19,overcast,1,6,12,16.67,91.3,91.74,95.74,6.26,5,6.99,8.12,A,2.13,0.712,4,0,0.0,6,0,0,5,0,0,1,0.096,0.404,0.481,0.75,0.038
cctv052x2004080519x01686,light,19,overcast,1,6,9,16.67,97.76,93.01,104.63,15.59,6,6.95,7.84,A,2.12,0.896,5,0,0.0,6,0,0,5,0,0,1,0.0,0.062,0.25,0.854,0.896
cctv052x2004080519x01687,light,19,overcast,1,8,12,0.0,92.78,94.88,98.16,9.45,5,7.19,7.44,A,2.2,0.569,4,0,0.0,8,0,0,8,0,0,0,0.059,0.294,0.49,0.627,0.294
cctv052x2004080519x01688,light,19,overcast,1,4,8,0.0,92.61,92.61,96.62,8.09,2,4.03,4.09,A,1.23,0.462,4,0,0.0,4,0,0,4,0,0,0,0.0,0.385,0.327,0.462,0.0
cctv052x2004080519x01689,light,19,overcast,1,13,16,0.0,91.12,91.19,97.3,7.82,13,15.66,16.81,B,4.78,0.765,4,0,0.0,13,0,0,13,0,0,0,0.451,0.235,0.804,1.0,0.627
cctv052x2004080519x01690,light,19,overcast,1,11,14,0.0,94.97,96.89,100.37,6.54,8,9.82,9.95,A,3.0,0.804,3,0,0.0,11,0,0,11,0,0,0,0.0,0.275,0.804,0.765,0.314
cctv052x2004080519x01691,light,19,overcast,1,9,15,22.22,84.24,84.84,93.48,9.72,6,7.83,9.56,A,2.39,0.569,4,0,0.0,9,0,0,7,0,0,2,0.098,0.412,0.569,0.667,0.412
cctv052x2004080519x01692,light,19,overcast,1,12,13,0.0,105.38,110.12,112.11,8.93,9,11.45,11.58,B,3.5,0.52,4,0,0.0,12,0,0,12,0,0,0,0.68,0.58,0.34,0.86,0.36
cctv052x2004080519x01693,light,19,overcast,1,5,9,20.0,88.38,89.48,92.43,5.94,3,4.03,4.53,A,1.23,0.327,3,0,0.0,5,0,0,4,0,0,1,0.019,0.058,0.346,0.154,0.25
cctv052x2004080520x01694,light,20,overcast,1,13,14,7.69,94.0,91.81,110.34,11.87,11,15.29,15.92,B,4.67,0.885,5,0,0.0,13,0,0,12,0,0,1,0.0,0.673,0.769,0.808,0.885
cctv052x2004080520x01695,light,20,overcast,1,4,9,0.0,101.24,98.78,106.67,7.88,3,4.53,4.66,A,1.38,0.462,4,0,0.0,4,0,0,4,0,0,0,0.0,0.0,0.404,0.462,0.038
cctv052x2004080520x01697,light,20,overcast,1,12,23,8.33,96.06,95.21,103.63,6.23,9,14.29,15.29,B,4.37,0.846,4,0,0.0,12,0,0,11,0,0,1,0.154,0.404,0.654,1.0,0.942
cctv052x2004080520x01698,light,20,overcast,1,5,14,20.0,87.48,88.03,89.19,2.47,4,7.46,8.97,A,2.28,0.94,4,0,0.0,5,0,0,4,0,0,1,0.0,0.0,0.38,0.94,0.56
cctv052x2004080520x01699,light,20,overcast,1,4,8,0.0,91.24,91.62,94.01,3.37,4,6.22,6.87,A,1.9,0.98,4,0,0.0,4,0,0,4,0,0,0,0.0,0.0,0.0,0.98,0.922
cctv052x2004080520x01700,light,20,overcast,1,9,9,0.0,88.28,90.08,102.35,13.32,8,10.95,12.02,B,3.35,0.673,4,0,0.0,9,0,0,9,0,0,0,0.192,0.231,0.519,0.865,0.673
cctv052x2004080606x01820,light,6,overcast,2,4,13,0.0,98.03,98.03,105.91,15.92,2,4.15,4.28,A,1.25,0.558,3,0,0.0,4,0,0,4,0,0,0,0.192,0.327,0.558,0.154,0.0
cctv052x2004080606x01821,light,6,rain,2,2,9,0.0,93.7,93.7,93.7,0.0,1,3.03,3.61,A,0.91,0.739,3,0,0.0,2,0,0,2,0,0,0,0.0,0.152,0.739,0.0,0.022
cctv052x2004080606x01822,light,6,rain,2,2,9,100.0,82.68,82.68,82.68,0.0,1,2.87,4.66,A,0.87,0.558,4,0,0.0,2,0,0,0,0,0,2,0.0,0.0,0.096,0.558,0.077
cctv052x2004080606x01823,light,6,rain,2,4,12,0.0,85.14,85.14,88.54,6.86,2,3.38,3.71,A,1.02,0.431,3,0,0.0,4,0,0,4,0,0,0,0.0,0.0,0.431,0.412,0.098
cctv052x2004080606x01824,light,6,rain,2,7,13,28.57,89.57,90.46,95.79,7.55,6,7.72,10.47,A,2.33,0.885,4,0,0.0,7,0,0,5,0,0,2,0.0,0.0,0.423,0.885,0.385
cctv052x2004080606x01826,light,6,rain,2,3,6,66.67,89.52,89.52,91.05,3.09,2,2.94,4.79,A,0.88,0.365,4,0,0.0,3,0,0,1,0,0,2,0.0,0.192,0.288,0.365,0.038
cctv052x2004080606x01827,light,6,rain,2,6,17,33.33,98.99,100.73,104.48,6.28,5,6.37,8.74,A,1.92,0.633,3,0,0.0,6,0,0,4,0,0,2,0.0,0.592,0.633,0.122,0.224
cctv052x2004080606x01828,light,6,rain,2,4,9,0.0,94.53,94.53,94.53,0.0,1,3.06,3.38,A,0.92,0.275,3,0,0.0,4,0,0,4,0,0,0,0.0,0.118,0.275,0.275,0.196
cctv052x2004080606x01829,light,6,rain,2,3,6,0.0,58.93,86.48,89.06,50.94,3,5.04,5.81,A,1.52,0.558,3,0,0.0,3,0,0,3,0,0,0,0.0,0.423,0.558,0.077,0.385
cctv052x2004080606x01830,light,6,rain,2,2,6,50.0,82.96,82.96,87.15,8.47,2,3.91,4.88,A,1.18,0.451,3,0,0.0,2,0,0,1,0,0,1,0.02,0.059,0.471,0.137,0.373
cctv052x2004080606x01831,light,6,rain,2,5,8,20.0,91.39,93.58,95.85,5.6,5,6.96,8.43,A,2.1,0.596,3,0,0.0,5,0,0,4,0,0,1,0.077,0.058,0.654,0.596,0.346
cctv052x2004080606x01832,light,6,rain,2,2,3,0.0,99.63,99.63,99.63,0.0,1,1.21,1.53,A,0.37,0.346,2,0,0.0,2,0,0,2,0,0,0,0.0,0.346,0.019,0.0,0.0
cctv052x2004080606x01833,light,6,rain,2,4,5,50.0,94.66,93.96,95.53,1.34,3,3.57,4.98,A,1.08,0.462,5,0,0.0,4,0,0,2,0,0,2,0.0,0.25,0.212,0.154,0.462
cctv052x2004080606x01834,light,6,rain,2,4,8,50.0,91.23,89.68,93.68,3.72,4,5.36,8.36,A,1.62,0.654,4,0,0.0,4,0,0,2,0,0,2,0.0,0.135,0.481,0.654,0.269
cctv052x2004080607x01835,light,7,rain,2,1,4,0.0,96.69,96.69,96.69,0.0,1,1.4,1.4,A,0.42,0.365,3,0,0.0,1,0,0,1,0,0,0,0.0,0.058,0.365,0.0,0.0
cctv052x2004080607x01836,light,7,overcast,2,6,15,16.67,98.57,104.12,108.86,13.99,5,5.43,6.38,A,1.63,0.423,2,0,0.0,6,0,0,5,0,0,1,0.0,0.423,0.365,0.365,0.404
cctv052x2004080607x01837,light,7,overcast,2,0,3,0.0,,,,,0,0.19,0.19,A,0.06,0.058,3,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.058,0.0,0.0
cctv052x2004080607x01838,light,7,overcast,2,8,13,37.5,92.99,89.88,102.27,9.54,6,6.57,8.62,A,1.98,0.673,4,0,0.0,8,0,0,5,0,0,3,0.0,0.288,0.365,0.673,0.25
cctv052x2004080607x01839,light,7,overcast,2,3,4,0.0,95.0,95.0,99.1,8.29,2,3.26,3.38,A,0.98,0.442,4,0,0.0,3,0,0,3,0,0,0,0.0,0.058,0.346,0.442,0.135
cctv052x2004080607x01840,light,7,rain,2,2,2,50.0,77.9,77.9,82.26,8.81,2,1.82,2.86,A,0.55,0.255,4,0,0.0,2,0,0,1,0,0,1,0.196,0.02,0.039,0.255,0.0
cctv052x2004080607x01841,light,7,rain,2,1,1,100.0,87.19,87.19,87.19,0.0,1,1.79,3.45,A,0.54,0.538,4,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.538,0.0
cctv052x2004080607x01842,light,7,rain,2,0,0,0.0,,,,,0,0.0,0.0,A,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
cctv052x2004080607x01843,light,7,rain,2,0,1,0.0,,,,,0,0.45,0.51,A,0.13,0.096,5,0,0.0,0,0,0,0,0,0,0,0.0,0.019,0.019,0.0,0.096
cctv052x2004080607x01844,light,7,rain,2,0,0,0.0,,,,,0,0.0,0.0,A,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
cctv052x2004080607x01845,light,7,rain,2,1,2,0.0,,,,,0,0.7,0.89,A,0.21,0.135,2,0,0.0,1,0,0,1,0,0,0,0.0,0.135,0.077,0.0,0.0
cctv052x2004080607x01846,light,7,rain,2,1,2,0.0,,,,,0,0.64,0.83,A,0.19,0.096,3,0,0.0,1,0,0,1,0,0,0,0.0,0.0,0.096,0.058,0.038
cctv052x2004080607x01847,light,7,rain,2,0,0,0.0,,,,,0,0.2,0.33,A,0.06,0.039,4,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.02,0.039,0.0
cctv052x2004080607x01848,light,7,rain,2,0,0,0.0,,,,,0,0.13,0.26,A,0.04,0.038,4,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.038,0.0
cctv052x2004080608x01849,light,8,rain,2,0,1,0.0,,,,,0,0.52,0.72,A,0.16,0.098,4,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.059,0.098,0.0
cctv052x2004080608x01850,light,8,rain,2,0,0,0.0,,,,,0,0.26,0.32,A,0.08,0.058,3,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.058,0.0,0.019
cctv052x2004080608x01851,light,8,rain,2,8,11,12.5,97.38,96.47,109.29,12.21,6,8.76,9.89,A,2.64,0.54,3,0,0.0,8,0,0,7,0,0,1,0.22,0.22,0.76,0.62,0.44
cctv052x2004080608x01852,light,8,rain,2,4,6,25.0,98.28,98.51,102.05,5.4,3,4.4,4.85,A,1.33,0.423,5,0,0.0,4,0,0,3,0,0,1,0.0,0.231,0.365,0.115,0.423
cctv052x2004080608x01853,light,8,rain,2,7,9,28.57,84.23,84.37,89.17,12.32,7,8.14,9.7,A,2.45,0.667,3,0,0.0,7,0,0,5,0,0,2,0.0,0.294,0.667,0.588,0.392
cctv052x2004080608x01854,light,8,rain,2,7,9,42.86,93.7,91.43,103.37,9.92,5,6.89,10.02,A,2.08,0.519,3,0,0.0,7,0,0,4,0,0,3,0.154,0.404,0.673,0.212,0.154
cctv052x2004080608x01855,light,8,rain,2,4,13,25.0,90.56,90.56,90.56,0.0,1,3.86,5.15,A,1.16,0.49,3,0,0.0,4,0,0,3,0,0,1,0.082,0.245,0.49,0.265,0.0
cctv052x2004080608x01856,light,8,rain,2,1,3,100.0,,,,,0,0.57,0.96,A,0.17,0.173,3,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.173,0.0,0.0
cctv052x2004080608x01857,light,8,rain,2,2,3,0.0,89.67,89.67,89.67,0.0,1,1.66,1.92,A,0.5,0.288,3,0,0.0,2,0,0,2,0,0,0,0.0,0.173,0.288,0.038,0.0
cctv052x2004080608x01858,light,8,rain,2,2,3,0.0,97.86,97.86,102.03,8.42,2,1.79,1.98,A,0.54,0.25,1,0,0.0,2,0,0,2,0,0,0,0.269,0.019,0.038,0.192,0.019
cctv052x2004080609x01859,light,9,rain,2,2,3,0.0,94.08,94.08,94.08,0.0,1,1.53,1.53,A,0.46,0.269,3,0,0.0,2,0,0,2,0,0,0,0.058,0.038,0.269,0.0,0.0
cctv052x2004080609x01860,light,9,rain,2,2,2,0.0,90.84,90.84,92.0,2.35,2,1.69,1.89,A,0.51,0.235,3,0,0.0,2,0,0,2,0,0,0,0.216,0.0,0.235,0.02,0.039
cctv052x2004080609x01861,light,9,rain,2,0,0,0.0,,,,,0,0.0,0.0,A,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
cctv052x2004080609x01862,light,9,rain,2,0,0,0.0,,,,,0,0.0,0.0,A,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
cctv052x2004080609x01863,light,9,rain,2,2,3,0.0,81.46,81.46,81.46,0.0,1,1.4,1.53,A,0.42,0.423,5,0,0.0,2,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.423
cctv052x2004080609x01864,light,9,rain,2,6,10,0.0,78.37,77.63,86.79,9.67,4,5.6,6.31,A,1.69,0.608,4,0,0.0,6,0,0,6,0,0,0,0.0,0.02,0.549,0.608,0.451
cctv052x2004080609x01865,light,9,rain,2,1,1,0.0,,,,,0,0.51,0.51,A,0.15,0.096,4,0,0.0,1,0,0,1,0,0,0,0.0,0.0,0.058,0.096,0.0
cctv052x2004080609x01866,light,9,rain,2,0,0,0.0,,,,,0,0.2,0.2,A,0.06,0.041,5,0,0.0,0,0,0,0,0,0,0,0.0,0.02,0.0,0.0,0.041
cctv052x2004080609x01867,light,9,overcast,2,4,8,50.0,76.58,76.58,79.88,6.67,2,4.02,5.55,A,1.21,0.596,4,0,0.0,4,0,0,2,0,0,2,0.0,0.0,0.327,0.596,0.135
cctv052x2004080609x01869,light,9,overcast,2,5,6,20.0,82.98,80.93,88.27,6.84,4,7.79,9.89,A,2.35,0.898,4,0,0.0,5,0,0,4,0,0,1,0.0,0.163,0.837,0.898,0.143
cctv052x2004080609x01870,light,9,overcast,2,6,11,0.0,,,,,0,3.57,4.28,A,1.08,0.308,2,0,0.0,6,0,0,6,0,0,0,0.173,0.308,0.288,0.0,0.231
cctv052x2004080609x01871,light,9,overcast,2,1,1,0.0,82.47,82.47,82.47,0.0,1,0.83,0.89,A,0.25,0.212,5,0,0.0,1,0,0,1,0,0,0,0.0,0.0,0.019,0.019,0.212
cctv052x2004080609x01872,light,9,overcast,2,5,9,60.0,88.93,92.93,94.35,8.74,3,5.55,8.3,A,1.67,0.673,3,0,0.0,5,0,0,2,0,0,3,0.058,0.0,0.673,0.615,0.0
cctv052x2004080609x01873,light,9,overcast,2,3,4,33.33,85.78,85.78,86.2,0.83,2,4.34,6.7,A,1.31,0.673,4,0,0.0,3,0,0,2,0,0,1,0.192,0.365,0.0,0.673,0.019
cctv052x2004080609x01874,light,9,rain,2,1,2,0.0,86.11,86.11,86.11,0.0,1,1.11,1.11,A,0.33,0.294,4,0,0.0,1,0,0,1,0,0,0,0.0,0.039,0.0,0.294,0.0
cctv052x2004080609x01875,light,9,rain,2,5,5,20.0,90.91,90.91,92.09,2.38,2,4.04,4.75,A,1.22,0.49,4,0,0.0,5,0,0,4,0,0,1,0.0,0.118,0.431,0.49,0.176
cctv052x2004080609x01876,light,9,rain,2,0,0,0.0,,,,,0,0.13,0.13,A,0.04,0.038,3,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.038,0.0,0.0
cctv052x2004080610x01877,light,10,rain,2,0,0,0.0,,,,,0,0.27,0.27,A,0.08,0.06,5,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.02,0.0,0.06
cctv052x2004080610x01878,light,10,rain,2,0,0,0.0,,,,,0,0.0,0.0,A,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
cctv052x2004080610x01879,light,10,rain,2,2,7,0.0,,,,,0,1.85,2.11,A,0.56,0.404,2,0,0.0,2,0,0,2,0,0,0,0.0,0.404,0.154,0.0,0.0
cctv052x2004080610x01880,light,10,rain,2,3,6,0.0,90.83,90.83,93.92,6.25,2,2.74,2.81,A,0.83,0.423,3,0,0.0,3,0,0,3,0,0,0,0.077,0.077,0.423,0.0,0.192
cctv052x2004080610x01881,light,10,rain,2,1,1,0.0,,,,,0,0.45,0.45,A,0.13,0.135,4,0,0.0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.135,0.0
cctv052x2004080610x01882,light,10,rain,2,1,1,100.0,85.33,85.33,85.33,0.0,1,1.53,2.62,A,0.46,0.365,4,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.077,0.365,0.019
cctv052x2004080610x01883,light,10,rain,2,1,3,0.0,90.03,90.03,90.03,0.0,1,1.85,1.98,A,0.56,0.308,3,0,0.0,1,0,0,1,0,0,0,0.0,0.058,0.308,0.077,0.019
cctv052x2004080610x01884,light,10,rain,2,5,7,0.0,86.38,84.33,94.34,11.37,3,4.88,5.28,A,1.47,0.469,4,0,0.0,5,0,0,5,0,0,0,0.306,0.245,0.224,0.469,0.0
cctv052x2004080610x01885,light,10,overcast,2,4,6,0.0,71.98,73.14,73.75,2.8,3,4.09,4.21,A,1.23,0.654,5,0,0.0,4,0,0,4,0,0,0,0.0,0.0,0.0,0.404,0.654
cctv052x2004080610x01886,light,10,overcast,2,8,13,0.0,86.08,89.94,92.38,8.4,5,8.3,9.06,A,2.5,1.0,4,0,0.0,8,0,0,8,0,0,0,0.0,0.5,0.096,1.0,0.038
